City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,urumqi,43.801,87.6005,-19.47,85,26,1.0,CN,1706379571
287,kelibia,36.8476,11.0939,14.14,88,40,1.03,TN,1706379571
288,turpan,42.9333,89.1667,-4.33,48,14,0.35,CN,1706379571
289,gaogou,34.0175,119.1886,0.19,58,1,1.92,CN,1706379572
290,nuku'alofa,-21.1333,-175.2,23.19,94,20,1.03,TO,1706379572
291,portland,45.5234,-122.6762,15.89,97,100,5.36,US,1706379211
292,gatton,-27.55,152.2833,25.36,98,100,0.47,AU,1706379573
293,uturoa,-16.7333,-151.4333,27.24,79,83,2.12,PF,1706379573
294,fukuecho,32.6881,128.8419,8.88,67,100,7.47,JP,1706379573
295,maqat,47.65,53.3167,-5.01,90,100,5.87,KZ,1706379573
296,zinjibar,13.1287,45.3807,24.86,73,92,1.33,YE,1706379574
297,haiku-pauwela,20.9219,-156.3051,24.47,73,11,4.47,US,1706379574
298,qui nhon,13.7667,109.2333,22.27,84,50,5.27,VN,1706379574
299,fortaleza,-3.7227,-38.5247,31.15,84,40,7.2,BR,1706379575
300,kamaishi,39.2667,141.8833,1.22,73,2,3.52,JP,1706379575
301,pacasmayo,-7.4006,-79.5714,26.51,71,51,5.16,PE,1706379575
302,roberval,48.5168,-72.2324,-1.65,80,75,2.57,CA,1706379374
303,ndioum,16.5129,-14.6471,31.15,8,88,4.72,SN,1706379576
304,morehead city,34.7229,-76.726,21.13,88,100,1.34,US,1706379576
305,oranjemund,-28.55,16.4333,19.53,86,81,1.57,NA,1706379576
306,floro,61.5996,5.0328,6.98,87,100,7.2,NO,1706379576
307,tomakomai,42.6369,141.6033,-4.35,93,40,3.09,JP,1706379577
308,harstad,68.799,16.5293,4.66,97,100,24.14,NO,1706379577
309,plymouth,41.8334,-70.8328,4.34,89,100,4.12,US,1706379313
310,ancud,-41.8697,-73.8203,17.73,64,60,2.42,CL,1706379577
311,yaren,-0.5472,166.916,28.93,71,100,7.37,NR,1706379578
312,carnarvon,-24.8667,113.6333,23.38,82,0,6.6,AU,1706379578
313,nova vicosa,-17.8919,-39.3719,25.76,89,100,1.6,BR,1706379555
314,luderitz,-26.6481,15.1594,18.88,90,87,3.17,NA,1706379578
315,hobyo,5.3505,48.5268,26.97,84,84,5.61,SO,1706379578
316,kupang,-10.1667,123.5833,26.32,100,75,2.06,ID,1706379579
317,tolanaro,-25.0319,46.9987,23.61,87,28,4.39,MG,1706379579
318,udachny,66.4167,112.4,-35.67,99,15,0.75,RU,1706379579
319,yangambi,0.8102,24.4336,24.26,72,99,1.1,CD,1706379580
320,forster,-32.1667,152.5167,21.83,100,100,1.4,AU,1706379580
321,qamdo,31.1667,97.2333,-11.74,48,64,0.46,CN,1706379580
322,shihezi,44.3,86.0333,-18.63,93,44,1.54,CN,1706379581
